wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q5175045,Costas Kadis,Kostas Kadis,male,1967-08-30,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q65932863,"MINISTER OF AGRICULTURE, RURAL DEVELOPMENT AND ENVIRONMENT",2018-03-01,Q5175045-5EAA52A7-ABB9-460B-BA67-F2FC02393CDC
Q56459522,Yiannis Karousos,Yannis Karousos,male,1979-11-21,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q66735844,"MINISTER OF TRANSPORT, COMMUNICATIONS AND WORKS",2019-12-03,Q56459522-C496BE43-AA49-4BB8-AB88-5D41712977E4
Q57561010,Charalambos Petrides,Charalampos Petrides,male,1974-10-19,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q25907547,MINISTER OF DEFENCE,2020-06-29,Q57561010-470DC768-8BC9-4C39-9070-01D499061BE8
Q65091940,Nicos Nouris,Nikos Nouris,male,1960-11-14,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q64918867,MINISTER OF INTERIOR,2019-12-03,Q65091940-05B83995-20BE-4E5D-817B-C4B0D6F76B2B
Q65553792,Prodromos Prodromou,Prodromos Prodromou,male,1958-11-23,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-10-21,Q66718944,"MINISTER OF EDUCATION, CULTURE, SPORT AND YOUTH",2019-12-03,Q65553792-EE6B9AE1-3B92-4A5A-BE0B-7FB11E52ECDA
Q77253021,Kyriacos Koushos,Kyriakos Kousios,male,1952-01-01,9,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2022-02-03,Q88400061,DEPUTY MINISTER TO THE PRESIDENT,2022-02-02,Q77253021-48533C56-A737-481F-9110-D1EDEC85D2C2
Q86693722,Savvas Perdios,Savvas Perdios,male,1981-08-01,10,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-30,Q86690830,DEPUTY MINISTER OF TOURISM,2019-01-02,Q86693722-68EFF29B-311D-4272-8150-56E8255B6736
Q86705341,Kyriacos Kokkinos,Kyriakos Kokkinos,male,,,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q86699396,"DEPUTY MINISTER OF RESEARCH, INNOVATION AND DIGITAL POLICY",2020-03-01,Q86705341-AF7F2FF5-2251-4B81-B000-B04A8C0D18AA
Q86709198,Natasa Pilides,Natasa Pilides,female,1980-12-18,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-07-22,Q66723022,"MINISTER OF ENERGY, COMMERCE AND INDUSTRY",2020-07-10,Q86709198-86B5F0DE-2016-41C1-BB8F-83ED27503E39
Q97131330,Vassilios Demetriades,Vasilis Dimitriadis,male,1972-03-15,11,https://www.presidency.gov.cy/cypresidency/cypresidency.nsf/dmlint_en/dmlint_en?OpenDocument,2021-11-09,Q86707794,SHIPPING DEPUTY MINISTER TO THE PRESIDENT,2020-07-10,Q97131330-4C4A7FD7-C10F-4D38-B5FD-03F6EADF409A
